HITID,convo_1,convo_2,convo_3,convo_4,convo_5,convo_6,convo_7,convo_8,convo_9,convo_10
3M47JKRKCXZRSOWDP95UZUA8N2I86T,"['A: you are telling me , for example , that you do not know what the special is . ', 'B:  correct . i do not . ', 'A:  or why we ordered it .\n']""","['A: i just wanted the kid to see you -- ', 'B:  well , now he saw me . now you saw me . ok . now would you mind . ', 'A:  man , you are really --\n']""","['A: i guess . ', 'B:  you guess . did he or did not he . ', 'A:  yeah . okay . he did\n']""","['A: would you be available . ', 'B:  when . next spring . ', 'A:  next week . we only have a four month school year .\n']""","['A: . how old are you . ', 'B:  sixteen ', 'A:  live with your parents .\n']""","['A: how -- how long does she have . ', 'B:  two , three months . maybe less . ', 'A:  so you have given up .\n']""","['A: you will not say anything to my parents . ', 'B:  i do not give a fuck about your parents -- ', 'A:  we sometimes went downtown to score .\n']""","['A: oh , so the flowers and the rabbit were from you . ', 'B:  i could have strangled that guy . ', 'A:  i mean it , i cannot cope anymore . my parents and i do not talk to each other and anyway they live in texas , and the baby needs to get out to the park .\n']""","['A: a medicine man . ', 'B:  those are white words , not ours . ', """"A:  nice house for a shaman ' s daughter . you must be good .\n""""]""","['A: that would indicate that it is the future . ', 'B:  the later events have never been kept a secret . ', 'A:  where am i . and how can i leave .\n']"""
3Y7LTZE0YTKREVN1UH3ASKLSPX6ZUQ,"['A: is it . ', 'B:  that is none of your business , i am sure . shall you do my front too . ', 'A:  i am up for it .\n']""","['A: i think so . ', 'B:  you have got about four minutes to find out if you are wrong . ', 'A:  did you hear what i said .\n']""","['A: no needles , huh . what about the acid bath . ', 'B:  all for show . just a psychological mind game to get you to do the right thing . ', 'A:  you are a jerk-off , you know that .\n']""","['A: we need this vehicle , and we need it without you . but with the keys . ', 'B:  i cannot do that . i cannot abandon my vehicle . ', 'A:  get out , frances . you can say you were hijacked .\n']""","['A: i cannot stay . ', 'B:  i know . <continued_utterance> i need to ask you something . and i need you to tell me the truth . <continued_utterance> who is it . who is trying to kill me . ', 'A:  i do not know . but i will find him .\n']""","['A: on whose orders . ', """"B:  general mcaddie ' s . """", 'A:  general mcaddie is who requested our coming here . we were awakened at three am and told to get down here immediately .\n']""","['A: it does not matter anymore , forget it . ', 'B:  of course it matters . hey , hold on . ', 'A:  what do we owe our governments . yours kidnapped you , mine abandoned me .\n']""","['A: yes . ', 'B:  because i try to be nice to people . ', 'A:  yeah . maybe . i dunno .\n']""","['A: you are good at it . ', 'B:  oh look . a wedding . how lovely . ', 'A:  i am not really into weddings at this particular moment in my life .\n']""","['A: i hope you have not bought me a disgusting dress that i then have to wear like last year . ', 'B:  it was disgusting . ', 'A:  yes . i looked like an ugly nun .\n']"""
3DWGDA5POF2UWERTRW4NWC3ZQP2V1M,"['A: we will go down close to the sky bridge . we may be able to swing over and use it for cover . ', 'B:  no way . i sail . i do not fly . ', 'A:  . sometimes , you just have to take the plunge .\n']""","['A: what is that supposed to be . ', 'B:  it is a bear . ', 'A:  that is not a bear . that is just some lines on a skin .\n']""","['A: oh -- <continued_utterance> why , it is a man . a man made out of tin . ', 'B:  what . ', 'A:  yes . oh -- look --\n']""","['A: i got the scholarship and he went nuts . he is crazy , and i am leaving . i am leaving . ', 'B:  great . go . ', 'A:  give me my paper route money , and you will never have to see my face again .\n']""","['A: oh , do not mention it . it was a pleasure having you here . i hope you will find what you are looking for very soon . ', 'B:  so do we . ', 'A:  did you hear that . he said there would been a mistake and they were not going to bother us anymore .\n']""","['A: then you should just say so . ', 'B:  i just did . ', 'A:  i mean ask for it . nicely .\n']""","['A: so what happened . ', 'B:  i decided not to go home . ', """"A:  and then you decided you would break into your grandfather ' s house .\n""""]""","['A: this is madness . ', 'B:  no doubt . ', 'A:  tell me again , franklin , why are we here .\n']""","['A: what is it . ', """"B:  easy now . that mare ' s in season . """", 'A:  oh . now she is starting . how do they know .\n']""","['A: why . he is a salami with eyes . ', 'B:  i thought he was cute . ', 'A:  how would you know a boy is cute . are you coming out of the closet .\n']"""
3G57RS03HH3KN5UA49MOXXJ557F527,"['A: ninety-six . ', 'B:  congratulations . ', """"A:  what about you . <continued_utterance> it is a ninety-one . it is an ' a ' .\n""""]""","['A: i have had enough of your insolence . put him in my car . i think they will enjoy attending our ribbon cutting at the acme factory . ', 'B:  what about him . ', 'A:  he is not going anywhere . we will send the mobile unit after him .\n']""","['A: can . ', 'B:  cannot . cannot . cannot . ', 'A:  i tell you , i could fly around this room with my eyes closed .\n']""","['A: yes , you found him . i heard you found a horse in the wire between the armies - ', 'B:  no , i found him , he raised him - ', """"A:  when i heard about the miracle horse , i traveled three days because i knew whose horse it was . my granddaughter ' s . she saved his life . he was everything to her .\n""""]""","['A: if you do not tie up all the lose ends it will never be over . ', 'B:  no . ', 'A:  you put him down or do not bother coming back .\n']""","['A: i am surprised you are available . ', 'B:  i am surprised you are surprised . ', 'A:  i cannot keep this banter going .\n']""","['A: i am doomed . ', 'B:  no you are not . ', 'A:  i will be a laughing stock .\n']""","['A: how about an address . ', 'B:  ah . no . ', 'A:  maybe a road or route number .\n']""","['A: his combined college board scores . ', 'B:  his iq . ', 'A:  the number of women he is slept with .\n']""","['A: sometimes you have to do stuff you do not want to do . it is all part of growing up . and it usually works out peachy in the end . ', 'B:  i am getting so good at this . ', 'A:  you guys are my parents .\n']"""
356TQKY9XFVAWOAI8JAM58A4ID287S,"['A: what is stopping you . ', 'B:  i just want to see the old century out by myself . filby have it your own way . ', 'A:  will you promise me that you will not leave the house tonight .\n']""","['A: real effective security . ', 'B:  you could have just flashed him your badge , you know . ', 'A:  authority still makes me nervous .\n']""","['A: no . ', 'B:  i saw the way he looked at you . ', 'A:  it was a play .\n']""","['A: try to communicate with her somehow . ', """"B:  you think that ' ll help . """", 'A:  cannot hurt . and i think it is important you find out what she wants .\n']""","['A: i am his guardian . ', 'B:  what is that mean . ', 'A:  it means i make sure he is well taken care of .\n']""","['A: you want it in writing . ', 'B:  just a formality . ', 'A:  that is it . i mean , you do not want to order room service or anything . we could play games and watch movies and stuff .\n']""","['A: what . ', 'B:  let us go out and do something . ', 'A:  this weekend . i will cancel an operation or two . we will have fun . because i am all about fun .\n']""","['A: oh , shut up . ', 'B:  now that is what i like -- an insult with some originality . did you just make that up . just now . so clever . ', 'A:  why do not you take a long walk off a short pier .\n']""","['A: he just let it explode . ', """"B:  what is the question nobody ' s asking . why that building . why not the federal building . """", 'A:  the federal building was too well guarded .\n']""","['A: it is not driving me crazy . ', 'B:  me either . ', 'A:  you gon na do that all summer .\n']"""
3W31J70BASU0367F8PF0BZB9EONCK8,"['A: where is the sub going . . ', 'B:  no . get me out . ', 'A:  this is too big for even you . where is it .\n']""","['A: could you step away from the door please . ', 'B:  well we just wan na -- ', 'A:  could you step away from the door please .\n']""","[""""A: that was our insurance company ' s recommendation . """", 'B:  yes . it would be . ', 'A:  nothing that we can do can make that woman well .\n']""","['A: i am sorry . i am sorry i forgot the tent . i do not think i forgot anything else . ', 'B:  i bet you did not forget the bachelor party checks . ', 'A:  are we going to do this again .\n']""","[""""A: so why ' d you leave him . """", 'B:  you ever dated a guy who actually believes in soul mates . ', 'A:  actually , no .\n']""","['A: operator . ', 'B:  can you dial a local number for me . ', 'A:  what is the number , please .\n']""","['A: do you still love me . ', 'B:  yes . ', 'A:  as much as you used to .\n']""","['A: who is idea was it . ', 'B:  mine . his . we both . thought . <continued_utterance> i did not want to come . ', 'A:  then why did you .\n']""","['A: and you ; you have got it all together . ', 'B:  i do not want it this way . i would not kill you just to kill you , but i cannot let you lose the gold for me . not when we are so close . ', 'A:  that helicopter passes , and the only thing we are close to is death .\n']""","['A: i am glad you brought that up as to who you are . i have to know who is in my house . ', 'B:  you invited me . ', 'A:  only if you are a good man , a friend . are you a friend .\n']"""
39RRBHZ0AUZRRAC1Z7DFO6NB34FZVF,"['A: you love me . <continued_utterance> will you do something for me . ', 'B:  landon . i cannot even do for myself . ', 'A:  but if you could , you would .\n']""","['A: and what do you call this . ', 'B:  - the family jewels . ', 'A:  what is this .\n']""","['A: do i live alone . yes i do . do you live alone . ', 'B:  yes . <continued_utterance> what are you doing . ', 'A:  i do not know . i have no idea .\n']""","['A: what is the matter . ', 'B:  nothing is the matter . ', 'A:  this is not the way you dance .\n']""","['A: you would recognize it if you tasted it . ', 'B:  i doubt it , darling . <continued_utterance> you want to keep him happy . ', 'A:  if he is happy . . . i am happy .\n']""","['A: stupid . ', 'B:  why do you say that . ', 'A:  we are supposed to write a story for english homework , but they did not tell us what it is supposed to be about .\n']""","['A: you are looking more like a butcher than a mechanic . ', 'B:  things do get kinda confused these days , do not they . i am gon na go wash up . you two make yourselves at home . ', 'A:  what are you doing .\n']""","['A: did you see his kids . ', 'B:  no , they were asleep when i got here . ', 'A:  they are really cute . so what can i do for you .\n']""","['A: that girl is a vision . ', 'B:  where is the baby . . ', 'A:  i thought you had her .\n']""","['A: i went to the foxbooks website and you can buy anything . they ship it to you in a day . maybe we should get a website . ', 'B:  my mother would never have wanted us to have a website . `` every book you sell is a gift from your heart . `` she always said that . ', 'A:  what if they put us out of business .\n']"""
3ZG552ORAM21LZ9PA0411VD4IVGV23,"['A: i cannot believe it took us so long to finally get together . what exactly do you do for the government . ', """"B:  you might say . ' public relations . ' """", 'A:  how fascinating . i bet you meet all the most fabulous people .\n']""","['A: totally secure . without codes , you would need a missile to blast through the front door ; you normally cannot even get this close without a full security clearance . ', 'B:  . could you say that a little closer to the microphone . ', 'A:  of course . you would need -\n']""","['A: a very enthusiastic welcome . ', 'B:  we do not often have guests . our girls have been looking forward to your visit for some time . welcome to curacao . ', 'A:  thank you . you are all ready to sail then .\n']""","['A: what just . out there . . ', 'B:  i do not know . ', 'A:  but it did happen , right . or not .\n']""","['A: was your family traveling with you . ', 'B:  no . ', 'A:  did you get up from your seat .\n']""","['A: someone else has it now . ', 'B:  that would indicate that it is the future . ', 'A:  the later events have never been kept a secret .\n']""","['A: you live in the neighborhood . ', """"B:  uh-huh . my nephew ' s going to be staying with us in a few months , so i stopped by . """", 'A:  how old is he .\n']""","['A: shoot him . like with a gun . ', 'B:  yes . ', 'A:  where . . in the leg .\n']""","['A: never . ', 'B:  when he looks at you , do you forget how to breathe . ', 'A:  i hope he will someday . i hope i will too .\n']""","['A: what are you doing . sleep walking . ', 'B:  could not sleep . ', 'A:  whatever you have got on your mind is not worth staying awake for .\n']"""
30UZJB2POHA98NQT890TG7OXBLF53I,"['A: quit whining and get over here . we have got something for you . ', """"B:  unless it is a ' swing thought , ' i am not interested . """", 'A:  we are here to sponsor you in the\n']""","[""""A: you are those musketeers everyone ' s been looking for . """", 'B:  popularity has its price . ', 'A:  i have some excellent brandy here . would you gentlemen care to drink a toast with us to the cardinal .\n']""","['A: well , if we are going to be outlaws , i suppose we will have to get our affairs in order . ', 'B:  are you going to visit them alphabetically or in order of preference . ', 'A:  alphabetically seems . fair .\n']""","['A: i made you do too many things , kept you up all night -- ', 'B:  no . the drugs just stopped working . if anything , doing things i love kept me healthy longer . ', 'A:  are you frightened .\n']""","['A: what happened to your confidence . ', 'B:  he is shanking his love life so he is shanking the golf ball . ', 'A:  must be true love .\n']""","['A: er . hum . er . hey , wing . ', 'B:  what is it . ', 'A:  it is the eight hundred on fordnee lane . i have not got it .\n']""","['A: me . ', 'B:  just go to the window and check her out . ', 'A:  you are pathetic .\n']""","['A: yeah , it is brian . ', 'B:  brian -- ', 'A:  what the hell happened to you today , lady .\n']""","['A: looking for a phone book . i want to call a cab . unless you wan na give me a ride . ', 'B:  who are you . ', 'A:  we hung out last night , remember .\n']""","['A: why . do you object to losing your head . ', 'B:  yes . i like it where it is . ', 'A:  then tell me what i want to know , and perhaps you will keep it there a few years longer . where are the three musketeers .\n']"""
3JUDR1D0D6P9GRD8O1ARV8EW1322QH,"['A: i never figured you for a pimp . ', """"B:  have you ever even looked at `` heaven . ' ' """", 'A:  what kind of sick question is that . i will be watching you , young man . your money and power mean nothing here . nothing .\n']""","['A: who . ', 'B:  give me that shit . your wife . ', 'A:  i did not kill my wife .\n']""","['A: stop it . ', 'B:  i was just getting to the interesting part . ', 'A:  we have already done the interesting part . do you forget .\n']""","['A: i know i am not at the center of the bridge . ', 'B:  we are going to be fine . ', 'A:  there we go .\n']""","['A: they need it to be simple . they need a reason . ', 'B:  who . ', 'A:  all of them . everybody waiting on that dock .\n']""","[""""A: you do not . listen to this woman in a man ' s world , a very violent world . """", 'B:  there are plenty of other suppliers in mexico . ', 'A:  but not in whose interest it is to help you out of debt .\n']""","['A: why . ', 'B:  he feels it is not . appropriate . ', 'A:  it sounds as though he is concerned with more important matters .\n']""","['A: what . ', 'B:  the chairs . ', 'A:  i left a message . i think it is going to be okay .\n']""","['A: not much . he was just a computer program . nothing more . ', 'B:  you did not see the expression you had on your face when you pulled the trigger . but i did . you kind of liked it , did not you . that thrill of going over the edge again . of taking out an innocent bystander or two , as long as you got the target . ', 'A:  go to hell .\n']""","['A: hey there . ', 'B:  how you holding up . ', 'A:  good . i am good .\n']"""
