HITID,convo_1,convo_2,convo_3,convo_4,convo_5,convo_6,convo_7,convo_8,convo_9,convo_10
33N1S8XHHML6XP4XRDQVAZGMMVC1ZB,"['A: i do not think so . ', 'B:  someplace nearby .\n']","[""A: your fathered owned the entire `` heaven ' ' empire . you own it now . any questions . "", 'B:  everything . the publishing division , the real estate holdings , the retail outlets , the theme parks .\n']","['A: stop it . ', 'B:  i was just getting to the interesting part .\n']","['A: we did not know you were going to kill him -- ', 'B:  you calling me a murderer .\n']","['A: theres worse places , honey . ', 'B:  if you say so .\n']","['A: i would really prefer it if you would make some other arrangement . ok . ', 'B:  i will do my best . .\n']","['A: what is it . ', ""B:  easy now . that mare ' s in season .\n""]","['A: er . hum . er . hey , wing . ', 'B:  what is it .\n']","['A: if you do not tie up all the lose ends it will never be over . ', 'B:  no .\n']","['A: what is she done . i am all but lame from the bite on my leg . ', 'B:  you mean she bit you .\n']"
3MDKGGG61QN5IZWVRRDUJ76M9A66TY,"['A: whose body was it . who is the one who hired you . the seven dwarves . ', 'B:  i have not had any accident .\n']","['A: hey there . ', 'B:  how you holding up .\n']","['A: brooks , what is a perceptive fellow like you , doing in a joint like this . let me buy you a glass of some of that russian shit you like . ', ""B:  fbi . what you investigatin ' .\n""]","['A: shoot him . like with a gun . ', 'B:  yes .\n']","['A: i am his guardian . ', 'B:  what is that mean .\n']","['A: it is never going to get to that . the store is fine . ', 'B:  i do not even know why you would say that .\n']","['A: never . ', 'B:  when he looks at you , do you forget how to breathe .\n']","['A: well , if we are going to be outlaws , i suppose we will have to get our affairs in order . ', 'B:  are you going to visit them alphabetically or in order of preference .\n']","['A: you have had your say , wes . now leave it . ', 'B:  maybe you have got ideas of your own for the gold . maybe you have already got things worked out .\n']","['A: what are you doing . sleep walking . ', 'B:  could not sleep .\n']"
3V7ICJJAZAGR7QY08HTUMFGM7C04BL,"['A: i am afraid that is not possible . ', 'B:  i must speak to those young women .\n']","['A: no needles , huh . what about the acid bath . ', 'B:  all for show . just a psychological mind game to get you to do the right thing .\n']","['A: remember me , from the bookstore . ', 'B:  of course i remember you .\n']","['A: yeah . ', 'B:  i want you to tell me who changed the colors on my computer screen .\n']","['A: me . ', 'B:  just go to the window and check her out .\n']","['A: i would doing this . ', 'B:  ok , son .\n']","[""A: ' not tonight ' means maybe some other night . "", 'B:  i did not mean it like that .\n']","['A: you love me . <continued_utterance> will you do something for me . ', 'B:  landon . i cannot even do for myself .\n']","['A: well , that is all part of it . ', 'B:  we have got weather moving in from the west .\n']","['A: what just . out there . . ', 'B:  i do not know .\n']"
3VDI8GSXAFTOH8TD06BL42NOPBOG8L,"['A: i went to the foxbooks website and you can buy anything . they ship it to you in a day . maybe we should get a website . ', 'B:  my mother would never have wanted us to have a website . `` every book you sell is a gift from your heart . `` she always said that .\n']","['A: do you still love me . ', 'B:  yes .\n']","['A: why did you . ', 'B:  why did i what .\n']","['A: you want it in writing . ', 'B:  just a formality .\n']","['A: have you seen my new toothbrush . ', 'B:  it should be in the bathroom .\n']","['A: i am glad you brought that up as to who you are . i have to know who is in my house . ', 'B:  you invited me .\n']","['A: what happened to your confidence . ', 'B:  he is shanking his love life so he is shanking the golf ball .\n']","['A: could you step away from the door please . ', 'B:  well we just wan na --\n']","['A: i think so . ', ""B:  what do you mean `` you think so . ' '\n""]","['A: what are you talking . . he is had two months training in those choppers . ', 'B:  four .\n']"
3GMLHYZ0LEXM1WLQXFYW7UCHRY5YUG,"['A: stock broker . as in : never have so few done so little for so much . so what do you see in this . ', 'B:  i would give anything to have this in my house , even for a week .\n']","['A: that girl is a vision . ', 'B:  where is the baby . .\n']","['A: the only proof is those bodies . ', 'B:  so what do we do .\n']","['A: yes . ', 'B:  because i try to be nice to people .\n']","['A: i am afraid i disagree . the song is funny , but there is one thing wrong with it . ', 'B:  what is that , sir .\n']","['A: think i may have cracked it . ', 'B:  really .\n']","['A: my babies . ', 'B:  somebody broke in .\n']","['A: you are looking more like a butcher than a mechanic . ', 'B:  things do get kinda confused these days , do not they . i am gon na go wash up . you two make yourselves at home .\n']","['A: we do not often have guests . our girls have been looking forward to your visit for some time . welcome to curacao . ', 'B:  thank you . you are all ready to sail then .\n']","['A: then bring me a healing stone , you savages . ', 'B:  what the hell is this guy on .\n']"
3WPCIUYH1A8438BA1EL8PDGEQWTDTX,"['A: what . ', 'B:  the chairs .\n']","['A: let me ask you this : when you smoke a cigar , do you ever pretend it has balls . ', 'B:  come on , that would not make me gay .\n']","['A: ninety-six . ', 'B:  congratulations .\n']","['A: what are you doing . ', 'B:  counting the gray hairs in your head .\n']","['A: no . ', 'B:  where .\n']","['A: you are telling me , for example , that you do not know what the special is . ', 'B:  correct . i do not .\n']","['A: sometimes you have to do stuff you do not want to do . it is all part of growing up . and it usually works out peachy in the end . ', 'B:  i am getting so good at this .\n']","['A: i want you to hear me out . ', 'B:  what .\n']","['A: oh , so the flowers and the rabbit were from you . ', 'B:  i could have strangled that guy .\n']","['A: it was incredible . the light , the crowd , everything . ', 'B:  such enthusiasm . have i told you lately how proud i am of you .\n']"
3EGKVCRQFWS75XCKXOH124KT2DZBYD,"['A: yeah , why . ', 'B:  when the hell did this package arrive .\n']","['A: oh , do not mention it . it was a pleasure having you here . i hope you will find what you are looking for very soon . ', 'B:  so do we .\n']","['A: what is the matter . ', 'B:  nothing is the matter .\n']","['A: you will not say anything to my parents . ', 'B:  i do not give a fuck about your parents --\n']","['A: who . ', 'B:  give me that shit . your wife .\n']","[""A: you are going to be hungover for three days . like those guys on `` oprah ' ' that get drunk and have disgusting sex with prostitutes and then say their vows with the stench of cheap hotel whore sex all over them . "", 'B:  time out .\n']","['A: it is not driving me crazy . ', 'B:  me either .\n']","['A: i made you do too many things , kept you up all night -- ', 'B:  no . the drugs just stopped working . if anything , doing things i love kept me healthy longer .\n']","['A: who . ', 'B:  the guy on the phone .\n']","['A: he flashed his badge to half the bar when he bought his drink . ', 'B:  i appreciate you bringing this to our attention . whatever you want , the rest of the night , consider it on the house .\n']"
3GS542CVJVNQFGN3O2Y801RAJ8S95L,"[""A: you are those musketeers everyone ' s been looking for . "", 'B:  popularity has its price .\n']","['A: i think that was legally your fault . ', 'B:  get the first aid kit . <continued_utterance> come on , big guy . do me a favor and do not be dead , okay . open your eyes and look at me .\n']","['A: just now . ', 'B:  you are not going to believe this -- i just beat you guys and everybody else here to a story . . exclusive . eat your heart out .\n']","['A: so what happened . ', 'B:  i decided not to go home .\n']","['A: i was good . i mean , even better than usual . ', 'B:  if you do not say so .\n']","['A: i . r . s . fucking bandits . bandits . thieving sons of bitches . ', 'B:  you need a ride uptown .\n']","['A: i know i am not at the center of the bridge . ', 'B:  we are going to be fine .\n']","['A: you get it yet . ', 'B:  naw , nothing .\n']","['A: all in good time , my little pretty -- all in good time . ', 'B:  oh , please give me back my dog .\n']","['A: what is it . kiddie porn again . sexual battery of a patient . i have had my license taken away in three states . ', 'B:  they want to discredit you -- for what .\n']"
3HKIF5DF6YXOVDCN5YHZ4YIZ9H6G9A,"['A: yes , i love you . i have told you , but it does not really matter . ', 'B:  why . it does .\n']","['A: at wounded knee . i mean , that is where i was , and that is where the dream was . why . ', 'B:  you were running with the old ones . at the knee . heavy duty .\n']","['A: what is it about . ', 'B:  my father .\n']","['A: all i know is , you killed your girlfriend and i do not know what is in your mind . ', 'B:  i need your help .\n']","['A: they need it to be simple . they need a reason . ', 'B:  who .\n']","['A: on whose orders . ', ""B:  general mcaddie ' s .\n""]","['A: . how old are you . ', 'B:  sixteen\n']","['A: they really hated it . i think they hated it more than any of the other ones . ', 'B:  well .\n']","['A: this is madness . ', 'B:  no doubt .\n']","['A: why . do you object to losing your head . ', 'B:  yes . i like it where it is .\n']"
38RHULDV9YFD30VQOXRU3U3QMVJIWU,"['A: someone else has it now . ', 'B:  that would indicate that it is the future .\n']","['A: well -- ', 'B:  -- i thought -- maybe you could sell your half of the house to me , and i could pay you whatever it is over a certain amount of time , and that way --\n']","['A: we need this vehicle , and we need it without you . but with the keys . ', 'B:  i cannot do that . i cannot abandon my vehicle .\n']","['A: i arrived this morning . ', 'B:  you have been . busy .\n']","['A: she told you about . . . ', 'B:  her dog , yes .\n']","['A: what . ', 'B:  you are bleeding .\n']","['A: what is stopping you . ', 'B:  i just want to see the old century out by myself . filby have it your own way .\n']","['A: i am going to have to ask that you not use the pool during regular hours . i will put time aside for you late in the day . and it will not be possible for you to eat in the dining room either . but i promise i will find someplace suitable . ', 'B:  they do not want us to eat in their presence .\n']","['A: yes , you found him . i heard you found a horse in the wire between the armies - ', 'B:  no , i found him , he raised him -\n']","['A: and what do you call this . ', 'B:  - the family jewels .\n']"
